Kulung Words,Grammatical Meaning
samkʰe,potato
tʃət̪e,eat-IMP
e,hey
babu,eldest.son
ma,no
uroi,why-Q
tʃət̪e,eat-IMP
ma,no
o:tʃamano,my-eat-INF-NEG.NPT
kʰoro:kə,if-TOP
kʰobui,popped.maize
tʃət̪e,eat-IMP
koŋa,I-ERG
kʰobui,popped.maize
so,also
tʃoio:no,eat-1s.NPT-NEG.NPT
kʰoro:kǝkǝ,if-TOP-TOP
nokt̪ʰu,porridge
hǝpt̪e,slurp-IMP
nokt̪ʰu,porridge
koŋa,I-ERG
nǝt̪o:no,like.1s.NPT-NEG.NPT
kʰhoro:,if
dʒa,cooked.rice
tʃǝt̪e,eat-IMP
make,no-ASS
koŋ,I
dʒa,cooked.rice
so,also
tʃona,eat:1s.PT-PFG
t̪ʰoŋokǝ,come.up-1s.PT-SUB
ou,okay
kʰoro:ǝ,if-TOP
tʃanǝʋǝ,eat-NEG-IMP
i:lei,one-day
bu,elder.brother
nus,early
pǝkana,wake.up-PT-PFG
ese,today
koŋ,I
badʒar,market
kʰat̪o:,go-1s.NPT
minana,think-PT-PFG
mt̪ei,his-clothes
kʰapsna,put.on-PFG
badʒar,market
meksa,further
lamd̪umat̪ʰe,walk-PT-REP
kʰikkana,thereafter
lampa,road-LOC
khat̪tʃalo,go-CNT-COM
arko,other
t̪elpika,village-LOC-AB
so,also
badʒar,market
kʰaip,go-AP
i:bum,one
mislo,person-COM
t̪upat̪ʰe,meet-PT-REP
kʰikkana,thereafter
buʔa,elder.brother-ERG
kʰuŋkǝ,that
mis,person
an,you.s
ha:roi,whither-Q
kʰat̪kǝ,go-SUB
o:netʃʰoŋa,my-younger.sibling-EMP
lǝna,say-PFG
t̪ǝt̪t̪ʰe,ask-REP
kʰikkana,thereafter
netʃʰoʔa,younger.sibling-ERG
pika,say-PT
e,eh
buʔa,elder.brother-VOC
o:mi,my-GEN
kʰimt̪o,house-LOC
o:tʃʰas,my-child-ns
t̪ukkʰa,ill
t̪una,be-PFG
ʋa:,chicken
kʰe:s,buy-SUP
kʰat̪o:kə,go-1s.NPT-SUB
buʔa,elder.brother-VOC
lǝt̪ʰe,say-REP
kʰikkana,thereafter
buʔa,elder.brother-ERG
pika,say-PT
e,eh
o:netʃʰoŋa,my-younger.sibling-EMP
amtʃʰatʃi,your.s-child-ns
kʰena,then
kʰǝtʃi,that.one-ns
ui,what-Q
t̪uke,hurt-n1s
pikana,say-PT-PFG
t̪ǝt̪t̪ʰe,ask-REP
kʰikkana,thereafter
netʃʰoʔa,younger.sibling-ERG
pika,say-PT
buʔa,elder.brother-VOC
somori,disease
tʃʰet̪o:no,know-1s.NPT-NEG.NPT
an,you
ha:pikəi,where-SUB-Q
e,oh
nana,elder.sister
koŋ,I
ha:pi,where
ha:pikǝi,where-SUB-Q
ketʃʰe,long.ago
keiŋai,we.pi-EMP-EMO
e,eh
nana,elder.sister
tʃʰelamd̪elam,thoroughfare
kʰapikǝi,cry-1p.PT-SUB-Q
ketʃʰe,long.ago
iriŋpi,our.pi-language-LOC
tʃʰamtʃi,song-ns
so,also
lǝijake,sing-1p.NPT-ASS
maro:,if.not
ikʰimpi,our.pi-house-LOC
ketʃʰe,long.ago
neni,talk-1p.PT
e,oh
nana,elder.sister
u,what
neni,talk-1p.PT
soŋ,also-EMP
tʃʰu:at̪ʰe,be-PT-REP
iriŋpika,our.pi-language-LOC-ABL
e,oh
nana,elder.sister
itʃʰamŋai,our.pi-song-EMP-EMO
t̪u:at̪ʰe,be-PT-REP
ketʃʰe,long.ago
iriŋpi,our.pi-language-LOC
tʃʰamtʃi,song-ns
so,also
ləijake,sing-1p.NPT-ASS
maro:,if.not
ikʰimpi,our.pi-house-LOC
ketʃʰe,long.ago
ketʃʰe,long.ago
e,oh
nana,elder.sister
i:bum,one
pʰǝp,grandfather
t̪u:at̪ʰe,be-PT-REP
sud̪uluŋmi,Sudulung-GEN
md̪uŋpi,his-turn-LOC
ikʰiŋ,here-EMP
kʰaim,go-INF
tʃʰurat̪ʰe,be-PT-REP
ketʃʰe,long.ago
iriŋpi,our.pi-language-LOC
tʃʰamtʃi,song-ns
so,also
lǝijake,sing-1p.NPT-ASS
maro:,if.not
ikʰimpi,our.pi-house-LOC
tʃʰelamd̪elam,seek
lam,paths
lǝija,feel-1p.NPT
maro:d̪o,if.not
buʔa,elder.brother-VOC
iriŋka,our.pi-language-ABL
tʃʰam,song
lǝija,sing-1p.NPT
iriŋka,our.pi-language-ABL
so,also
tʃʰam,song
lǝt̪o,sing-PRG
nǝinod̪o,like-NEG.NPT-CND
buʔa,elder.brother-VOC
pam,scratch
lǝt̪o,feel-PRG
mo:bo,Mo:bo
mǝiam,do-1p→3.NPT
kulutʃʰa,Kulung
ʋatʃʰa,chick
lo,and
bo:,pig
lo,and
nu,OPT
t̪upi,meet-1p.PT
kʰat̪i,go-1p.PT
kulutʃʰa,Kulung
kʰo:loŋai,all-EMP-EMO
olonu,welcome
nukka,down
kʰimpu,house-LOC
kulutʃʰa,Kulung
t̪uptʃapkə,meet-CNT-AP-TOP
i:d̪emke,one-time-ASS
mǝmakǝkǝ,grandmother-TOP-TOP
kulutʃʰa,Kulung
bairiptʃo,Bairipco
horemke,Horem-ASS
koŋkʰed̪umkǝ,hammer-TOP
kulutʃʰa,Kulung
mimtʃʰaʔa,girl-ERG
kʰi,nettle
d̪umke,pound:INF-ASS
mǝmakǝkǝ,grandmother-TOP-TOP
kulutʃʰa,Kulung
ninammarid̪umke,Ninam.Ridum-ASS
kau,water
d̪u:pkǝkǝ,drink-AP-TOP-TOP
kulutʃʰa,Kulung
iriŋka,our.pi-language-ABL
t̪ʰaruke,Tharu-ASS
pʰǝpakǝkǝ,grandfather-TOP-TOP
kulutʃʰa,Kulung
pǝtʃikǝ,tell-ns-SUB
paruke,Paru-ASS
nam,sun
